iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
kyi,Kiput,450,204,450,0.0,no observed rate; projected flat
kym,Kpatili,4500,2038,4500,0.0,no observed rate; projected flat
kyo,Kelon,5000,2265,5000,0.0,no observed rate; projected flat
kyy,Kambaira,140,63,140,0.0,no observed rate; projected flat
kyz,Kawaiwete,550,249,550,0.0,no observed rate; projected flat
kzb,Kaibobo,250,113,250,0.0,no observed rate; projected flat
kzd,Kadai,200,91,200,0.0,no observed rate; projected flat
kzq,Kaike,794,536,794,0.0,no observed rate; projected flat
kzr,Karang,18000,12151,18000,0.0,no observed rate; projected flat
kzu,Kayupulau,573,115,573,0.0,no observed rate; projected flat
lac,Lacandon,563,255,563,0.0,no observed rate; projected flat
lad,Ladino,400000,270024,400000,0.0,no observed rate; projected flat
lae,Pattani,11000,7426,11000,0.0,no observed rate; projected flat
laf,Lafofa,600,272,600,0.0,no observed rate; projected flat
lan,Shen,1000,453,1000,0.0,no observed rate; projected flat
laq,Laqua,432,86,432,0.0,no observed rate; projected flat
law,Lauje,38000,17213,38000,0.0,no observed rate; projected flat
lax,Tiwa,27072,18275,27072,0.0,no observed rate; projected flat
lbb,Label,140,63,140,0.0,no observed rate; projected flat
lbc,Lakkia,9000,4077,9000,0.0,no observed rate; projected flat
lbj,Ladakhi,180000,81534,180000,0.0,no observed rate; projected flat
lbr,Northern Lorung,1207,547,1207,0.0,no observed rate; projected flat
